Tag,L1I,L1D,L1D_Assoc,ROB,Issue_Width,CPI,Runtime_Dynamic_W,Total_Leakage_W,Energy,EDP
L1I_32kB_L1D_32kB_L1DA_4_ROB_128_IW_6,32kB,32kB,4,128,6,1.465415,2.75049,0.53518,4.81487010305,7.055782872061015
L1I_32kB_L1D_32kB_L1DA_4_ROB_128_IW_8,32kB,32kB,4,128,8,1.465803,2.75696,0.536281,4.827242537523,7.075786593228826
L1I_32kB_L1D_32kB_L1DA_4_ROB_192_IW_6,32kB,32kB,4,192,6,1.465483,2.81079,0.536727,4.905729255711,7.1892628268471235
L1I_32kB_L1D_32kB_L1DA_4_ROB_192_IW_8,32kB,32kB,4,192,8,1.465483,2.81788,0.537828,4.917733026964,7.206854149554284
L1I_32kB_L1D_32kB_L1DA_8_ROB_128_IW_6,32kB,32kB,8,128,6,1.46556,2.83463,0.537588,4.94218781208,7.243072769871965
L1I_32kB_L1D_32kB_L1DA_8_ROB_128_IW_8,32kB,32kB,8,128,8,1.46555,2.84174,0.538689,4.95418772095,7.260609814438272
L1I_32kB_L1D_32kB_L1DA_8_ROB_192_IW_6,32kB,32kB,8,192,6,1.465373,2.89533,0.539135,5.032772280445,7.374888614912531
L1I_32kB_L1D_32kB_L1DA_8_ROB_192_IW_8,32kB,32kB,8,192,8,1.46533,2.90249,0.540236,5.04472968958,7.392193756032261
L1I_32kB_L1D_64kB_L1DA_4_ROB_128_IW_6,32kB,64kB,4,128,6,1.460637,2.75855,0.53771,4.81463931762,7.032440328970524
L1I_32kB_L1D_64kB_L1DA_4_ROB_128_IW_8,32kB,64kB,4,128,8,1.460637,2.76566,0.538811,4.8266326080269994,7.049958172690732
L1I_32kB_L1D_64kB_L1DA_4_ROB_192_IW_6,32kB,64kB,4,192,6,1.460389,2.81947,0.539256,4.905046504414,7.163275959534657
L1I_32kB_L1D_64kB_L1DA_4_ROB_192_IW_8,32kB,64kB,4,192,8,1.460439,2.8265,0.540357,4.917089270222999,7.181108936715207
L1I_32kB_L1D_64kB_L1DA_8_ROB_128_IW_6,32kB,64kB,8,128,6,1.460692,2.84247,0.540082,4.940866645984,7.217084382855662
L1I_32kB_L1D_64kB_L1DA_8_ROB_128_IW_8,32kB,64kB,8,128,8,1.460692,2.84958,0.541183,4.952860387996,7.234603545862654
L1I_32kB_L1D_64kB_L1DA_8_ROB_192_IW_6,32kB,64kB,8,192,6,1.460543,2.90318,0.541629,5.031291671287,7.348417831456528
L1I_32kB_L1D_64kB_L1DA_8_ROB_192_IW_8,32kB,64kB,8,192,8,1.460543,2.9103,0.54273,5.04329879529,7.365954752369242
L1I_64kB_L1D_32kB_L1DA_4_ROB_128_IW_6,64kB,32kB,4,128,6,1.464553,2.75594,0.538152,4.824372320876,7.065548955655908
L1I_64kB_L1D_32kB_L1DA_4_ROB_128_IW_8,64kB,32kB,4,128,8,1.464562,2.76302,0.539253,4.8363835494259995,7.0831835639144405
L1I_64kB_L1D_32kB_L1DA_4_ROB_192_IW_6,64kB,32kB,4,192,6,1.463954,2.81729,0.539698,4.914476010552,7.194566813551642
L1I_64kB_L1D_32kB_L1DA_4_ROB_192_IW_8,64kB,32kB,4,192,8,1.464105,2.82416,0.540799,4.926653296695,7.213137724957633
L1I_64kB_L1D_32kB_L1DA_8_ROB_128_IW_6,64kB,32kB,8,128,6,1.464278,2.84078,0.54056,4.95122177252,7.249965114622041
L1I_64kB_L1D_32kB_L1DA_8_ROB_128_IW_8,64kB,32kB,8,128,8,1.464272,2.8479,0.541661,4.9632392645920005,7.267532284442658
L1I_64kB_L1D_32kB_L1DA_8_ROB_192_IW_6,64kB,32kB,8,192,6,1.464113,2.90149,0.542106,5.041813670348,7.381784938334221
L1I_64kB_L1D_32kB_L1DA_8_ROB_192_IW_8,64kB,32kB,8,192,8,1.464085,2.90863,0.543207,5.0537827741450005,7.399167552884084
L1I_64kB_L1D_64kB_L1DA_4_ROB_128_IW_6,64kB,64kB,4,128,6,1.459378,2.76464,0.540681,4.823712750338,7.03962026616277
L1I_64kB_L1D_64kB_L1DA_4_ROB_128_IW_8,64kB,64kB,4,128,8,1.459378,2.77176,0.541782,4.835710296876,7.057129221634304
L1I_64kB_L1D_64kB_L1DA_4_ROB_192_IW_6,64kB,64kB,4,192,6,1.459179,2.82553,0.542228,4.914161750682,7.1706416291984105
L1I_64kB_L1D_64kB_L1DA_4_ROB_192_IW_8,64kB,64kB,4,192,8,1.459179,2.83265,0.543329,4.9261576612410005,7.1881458099719815
L1I_64kB_L1D_64kB_L1DA_8_ROB_128_IW_6,64kB,64kB,8,128,6,1.459499,2.84851,0.543054,4.949984266436001,7.224497086879078
L1I_64kB_L1D_64kB_L1DA_8_ROB_128_IW_8,64kB,64kB,8,128,8,1.459499,2.85563,0.544155,4.9619828077150006,7.242008945877236
L1I_64kB_L1D_64kB_L1DA_8_ROB_192_IW_6,64kB,64kB,8,192,6,1.459308,2.90935,0.544601,5.040378325908,7.355464414024151
L1I_64kB_L1D_64kB_L1DA_8_ROB_192_IW_8,64kB,64kB,8,192,8,1.459308,2.91648,0.545701,5.0523884307480005,7.372990856098004
