tag,workload,phase,l1i_size,l1i_assoc,rob_entries,issue_width,decode_width,l1d_size,l1d_assoc,l2_size,l2_assoc,cpi,ipc,l1d_miss_rate,l2_miss_rate,intalu_utilization,runtime_dynamic,total_leakage,energy,edp
encoder_DECODE_WIDTH_4_ISSUE_WIDTH_4_L1D_ASSOC_4_L1D_SIZE_32kB_L1I_ASSOC_4_L1I_SIZE_64kB_L2_ASSOC_8_L2_SIZE_256kB_ROB_ENTRIES_128_phase1,encoder,1,64kB,4,128,4,4,32kB,4,256kB,8,8.766953,0.11406471552887301,,,,2.5998,0.537185,27.501800056705004,241.10698851253014
encoder_DECODE_WIDTH_4_ISSUE_WIDTH_4_L1D_ASSOC_4_L1D_SIZE_32kB_L1I_ASSOC_4_L1I_SIZE_64kB_L2_ASSOC_16_L2_SIZE_256kB_ROB_ENTRIES_128_phase1,encoder,1,64kB,4,128,4,4,32kB,4,256kB,16,8.766953,0.11406471552887301,,,,2.59987,0.538298,27.512171362104006,241.19791325951184
encoder_DECODE_WIDTH_4_ISSUE_WIDTH_4_L1D_ASSOC_4_L1D_SIZE_32kB_L1I_ASSOC_4_L1I_SIZE_64kB_L2_ASSOC_8_L2_SIZE_512kB_ROB_ENTRIES_128_phase1,encoder,1,64kB,4,128,4,4,32kB,4,512kB,8,8.766953,0.11406471552887301,,,,2.6011,0.557896,27.694769459188002,242.79874219453666
encoder_DECODE_WIDTH_4_ISSUE_WIDTH_4_L1D_ASSOC_4_L1D_SIZE_32kB_L1I_ASSOC_4_L1I_SIZE_64kB_L2_ASSOC_16_L2_SIZE_512kB_ROB_ENTRIES_128_phase1,encoder,1,64kB,4,128,4,4,32kB,4,512kB,16,8.766953,0.11406471552887301,,,,2.60114,0.559279,27.707244833307005,242.90811321309536
encoder_DECODE_WIDTH_4_ISSUE_WIDTH_4_L1D_ASSOC_4_L1D_SIZE_32kB_L1I_ASSOC_4_L1I_SIZE_64kB_L2_ASSOC_8_L2_SIZE_1MB_ROB_ENTRIES_128_phase1,encoder,1,64kB,4,128,4,4,32kB,4,1MB,8,8.766953,0.11406471552887301,,,,2.60487,0.596937,28.070091484071003,246.08917274655076
encoder_DECODE_WIDTH_4_ISSUE_WIDTH_4_L1D_ASSOC_4_L1D_SIZE_32kB_L1I_ASSOC_4_L1I_SIZE_64kB_L2_ASSOC_16_L2_SIZE_1MB_ROB_ENTRIES_128_phase1,encoder,1,64kB,4,128,4,4,32kB,4,1MB,16,8.766953,0.11406471552887301,,,,2.60523,0.602178,28.119195187824005,246.51966260947924
encoder_DECODE_WIDTH_4_ISSUE_WIDTH_4_L1D_ASSOC_4_L1D_SIZE_32kB_L1I_ASSOC_4_L1I_SIZE_64kB_L2_ASSOC_8_L2_SIZE_2MB_ROB_ENTRIES_128_phase1,encoder,1,64kB,4,128,4,4,32kB,4,2MB,8,8.766953,0.11406471552887301,,,,2.60932,0.674814,28.791848423702003,252.41678191371957
encoder_DECODE_WIDTH_4_ISSUE_WIDTH_4_L1D_ASSOC_4_L1D_SIZE_32kB_L1I_ASSOC_4_L1I_SIZE_64kB_L2_ASSOC_16_L2_SIZE_2MB_ROB_ENTRIES_128_phase1,encoder,1,64kB,4,128,4,4,32kB,4,2MB,16,8.766953,0.11406471552887301,,,,2.60946,0.677127,28.813353759411,252.60531818112958
encoder_DECODE_WIDTH_4_ISSUE_WIDTH_4_L1D_ASSOC_8_L1D_SIZE_32kB_L1I_ASSOC_4_L1I_SIZE_64kB_L2_ASSOC_8_L2_SIZE_256kB_ROB_ENTRIES_128_phase1,encoder,1,64kB,4,128,4,4,32kB,8,256kB,8,8.766953,0.11406471552887301,,,,2.62515,0.539593,27.745153138079004,243.24045353934116
encoder_DECODE_WIDTH_4_ISSUE_WIDTH_4_L1D_ASSOC_8_L1D_SIZE_32kB_L1I_ASSOC_4_L1I_SIZE_64kB_L2_ASSOC_16_L2_SIZE_256kB_ROB_ENTRIES_128_phase1,encoder,1,64kB,4,128,4,4,32kB,8,256kB,16,8.766953,0.11406471552887301,,,,2.62522,0.540706,27.755524443478006,243.33137828632286
